Key,CoreExpense,Category1,Category1Percentage,Category2,Category2Percentage,Category3,Category3Percentage
Costco WHSE,Y,Groceries,85,Clothing,10,Household,5
Game Grid,,MTG,100,,,,
Maverik,Y,Gas,95,Snacks,5,,
IFA,Y,Yard Care,100,,,,
Alpine Family Medicine,Y,Medical,100,,,,
MTech Bookstore,,Snacks,100,,,,
Costa Vida,,Dining,100,,,,
VidAngel.com,,Entertainment,100,,,,
Chick-fil-a,,Dining,100,,,,
Costco Gas,Y,Gas,100,,,,
Walgreens,Y,Perscriptions,100,,,,
AMZN Mktp,,Amazon,100,,,,
Lucidchart,Y,Subscription,100,,,,
BYU*Ticket Office,,Entertainment,100,,,,
Lehi City Court,,Misc,100,,,,
Smiths Mrktpl,Y,Groceries,100,,,,
Great Clips,Y,Grooming,100,,,,
Asian market,Y,Groceries,100,,,,
JobScan,Y,Subscription,100,,,,
Hampton Inn & Suites,,Travel,100,,,,
CPK SNA,,Vacation,100,,,,
Mochi Donut,,Dining,100,,,,
Amazon Music,Y,Subscription,100,,,,
Handels Homemade,,Dining,100,,,,
HudsonNews,,Vacation,100,,,,
Alamo,,Vacation,100,,,,
Provo City,,Misc,100,,,,
Jersey Mike's,,Dining,100,,,,
DLR,,Vacation,100,,,,
Disney Plus,Y,Subscription,100,,,,
USH EC,,Vacation,100,,,,
Luigi's Pizza,,Vacation,100,,,,
ButterBeer,,Vacation,100,,,,
Bumblebee,,Vacation,100,,,,
USH Parking,,Vacation,100,,,,
Ralphs,,Vacation,100,,,,
Hanger 32,,Vacation,100,,,,
JAZZ Retail,,Entertainment,100,,,,
DeltaCenter,,Entertainment,100,,,,
Mtech Mountainland,,Dining,100,,,,
USH Ticketing,,Vacation,100,,,,
TCGPlayer,,MTG,100,,,,
Tmobile,Y,Mobile Phones,100,,,,
Swig,,Snacks,100,,,,
Utah-DMV,Y,Automotive,100,,,,
Checker Flag,Y,Automotive,100,,,,
Disneyland Tickets,,Vacation,100,,,,
Red Iguana,,Dining,100,,,,
Breeze,,Vacation,100,,,,
H2 Pest,Y,Subscription,100,,,,
Netflix,Y,Subscription,100,,,,
QuickQuack,,Subscription,100,,,,
Little India,,Dining,100,,,,
Audible,Y,Education,100,,,,
Little Caesars,,Dining,100,,,,
Smoked Taco,,Dining,100,,,,
WM Supercenter,,Groceries,80,Household,20,,
JCWS,,Dining,100,,,,
Heartland Pharmacy,,Pauline,100,,,,
Macey's,Y,Groceries,100,,,,
Amazon Prime,Y,Subscription,100,,,,
RevereHealth,Y,Medical,100,,,,
DollarTree,,Misc,100,,,,
Budda's,,Dining,100,,,,
Udemy,Y,Subscription,100,,,,
Microsoft,Y,Subscription,100,,,,
Subway,,Dining,100,,,,
Chevron,Y,Gas,100,,,,
O'Reilly,Y,Automotive,100,,,,
Amazon Digit,,Entertainment,100,,,,
Megaplex,,Entertainment,100,,,,
Skyridge,Y,School,100,,,,
Covington,,Pauline,100,,,,
Mike Hale,Y,Cars,100,,,,
Helgesen Houtz,,Delaney,100,,,,
Deseret Book,,Misc,100,,,,
Firehouse,,Dining,100,,,,
RealRawShit,,???,100,,,,
Costco.com,,Computer,100,,,,
Mod Pizza,,Dining,100,,,,
Apple.com,,Subscription,100,,,,
China Isle,,Dining,100,,,,
Lowes,Y,Home Improvement,100,,,,
MM Repair,Y,Automotive,100,,,,
NikePOS,Y,Clothing,100,,,,
Best Buy,,Electronics,100,,,,
Adidas,Y,Clothing,100,,,,
www costco com,,Electronics,100,,,,
Blaze,,Dining,100,,,,
Smiths Fuel,Y,Gas,100,,,,
Smith's Food,Y,Groceries,100,,,,
Amazon Ret,,Amazon,100,,,,
Delta Center,,Entertainment,100,,,,
Mountainland Technical,,School,100,,,,
Kohl's,Y,Clothing,100,,,,
Wal-Mart,Y,Groceries,100,,,,
Amazon.com,,Amazon,100,,,,
North Point,Y,Yard Care,100,,,,
The Roofing Center,Y,Home Improvement,100,,,,
Delta Air,,Travel,100,,,,
Granger Medical,Y,Medical,100,,,,
Target.com,Y,Clothing,50,Household,50,,
Prime Video,,Entertainment,100,,,,
Paw*Lee,Y,Home Improvement,100,,,,
Pizzeria Limone,,Dining,100,,,,
The Home Depot,Y,Home Improvement,100,,,,
Jersey Mikes,,Dining,100,,,,
AMZN Digital,,Entertainment,100,,,,
TNF 334,,Misc,100,,,,
Dominion EQC,Y,Utilities,100,,,,
Lehi City CORP,Y,Utilities,100,,,,
Comcast Online,,Entertainment,50,Internet,50,,
Columbia,Y,Clothing,100,,,,
Mortgage Loan,Y,Mortgage,100,,,,
UTAHTAXES,Y,Taxes,100,,,,
MESA,Y,Taxes,100,,,,
Recreation.Gov,,Travel,100,,,,
Questar Gas,Y,Utilities,100,,,,
Recreation Outlet,,Backpacking,100,,,,
R R BBQ,,Dining,100,,,,
Jimmy Johns,,Dining,100,,,,
SLC Airport Parking,,Travel,100,,,,
Sawadee,,Dining,100,,,,
Binh Cam Deli,,Dining,100,,,,
Target 00033787,Y,Household,60,Groceries,15,Toilitries,25
Panchito's,,Travel,100,,,,
Curry Pizza,,Dining,100,,,,
Cheesecake,,Dining,100,,,,
Maceys,Y,Groceries,100,,,,
Certus Airvac,Y,Automotive,100,,,,
MTECH Salon,,Grooming,100,,,,
US Treasury IRS,Y,Taxes,100,,,,
