Date,Description,Debit
8/24/24,COSTCO WHSE #0733 LEHI UT,301.08
8/24/24,COSTCO WHSE #0733 LEHI UT,12.86
8/10/24,COSTCO WHSE #0733 LEHI UT,282.77
8/9/24,COSTCO WHSE #0733 LEHI UT,15.12
8/2/24,COSTCO WHSE #0733 LEHI UT,7.69
8/2/24,COSTCO WHSE #0733 LEHI UT,42.38
8/1/24,COSTCO WHSE #0733 LEHI UT,27.38
7/27/24,COSTCO WHSE #0733 LEHI UT,175.18
7/22/24,COSTCO WHSE #0733 LEHI UT,37.12
7/19/24,COSTCO WHSE #0733 LEHI UT,189.83
7/15/24,COSTCO WHSE #0733 LEHI UT,63.85
7/13/24,COSTCO WHSE #0733 LEHI UT,176.77
7/8/24,COSTCO WHSE #0733 LEHI UT,133.84
7/5/24,COSTCO WHSE #0733 LEHI UT,10.79
7/5/24,COSTCO WHSE #0733 LEHI UT,28.99
7/3/24,COSTCO WHSE #0733 LEHI UT,65.55
6/29/24,COSTCO WHSE #0733 LEHI UT,276.15
6/26/24,COSTCO WHSE #0733 LEHI UT,27.06
6/24/24,COSTCO WHSE #0733 LEHI UT,33.44
6/22/24,COSTCO WHSE #0733 LEHI UT,191.42
6/19/24,COSTCO WHSE #0733 LEHI UT,81.65
6/15/24,COSTCO WHSE #0487 SANDY UT,206.09
6/15/24,COSTCO WHSE #0487 SANDY UT,42.89
6/12/24,COSTCO WHSE #0733 LEHI UT,247.65
6/9/24,COSTCO WHSE #0733 LEHI UT,53.71
6/1/24,COSTCO WHSE #0733 LEHI UT,310.4
5/30/24,COSTCO WHSE #0733 LEHI UT,19.66
5/26/24,COSTCO WHSE #0733 LEHI UT,32.21
5/25/24,COSTCO WHSE #0733 LEHI UT,151.23
5/24/24,COSTCO WHSE #0733 LEHI UT,19.01
5/18/24,COSTCO WHSE #0733 LEHI UT,191.74
5/15/24,COSTCO WHSE#1383 SARATOGA SPRIUT,53.56
5/14/24,COSTCO WHSE #0113 SALT LAKE CITUT,137.99
5/11/24,COSTCO WHSE #0733 LEHI UT,172.8
5/8/24,COSTCO WHSE #0733 LEHI UT,20.57
5/4/24,COSTCO WHSE #0764 MURRAY UT,86.94
5/1/24,COSTCO WHSE #0733 LEHI UT,115.61
4/30/24,COSTCO WHSE #0733 LEHI UT,77.12
4/27/24,COSTCO WHSE #0733 LEHI UT,2.7
4/27/24,COSTCO WHSE #0733 LEHI UT,313.63
4/26/24,COSTCO WHSE #0733 LEHI UT,52.59
4/25/24,COSTCO WHSE #0733 LEHI UT,101.91
4/20/24,COSTCO WHSE #0733 LEHI UT,153.2
4/18/24,COSTCO WHSE #0733 LEHI UT,27.79
4/13/24,COSTCO WHSE #0733 LEHI UT,288.09
4/5/24,COSTCO WHSE #0733 LEHI UT,262.29
3/30/24,COSTCO WHSE #0733 LEHI UT,141.98
3/28/24,COSTCO WHSE #0733 LEHI UT,86.26
3/28/24,COSTCO WHSE #0733 LEHI UT,140.51
3/23/24,COSTCO WHSE #0733 LEHI UT,262.87
3/21/24,COSTCO WHSE #0733 LEHI UT,218.6
3/4/24,COSTCO WHSE #0733 LEHI UT,56.17
3/2/24,COSTCO WHSE #0733 LEHI UT,315.24
2/17/24,COSTCO WHSE #0733 LEHI UT,150.34
2/14/24,COSTCO WHSE #0733 LEHI UT,24.47
2/9/24,COSTCO WHSE #0733 LEHI UT,26.81
2/9/24,COSTCO WHSE #0733 LEHI UT,196.01
2/3/24,COSTCO WHSE #0733 LEHI UT,355.51
1/27/24,COSTCO WHSE #0733 LEHI UT,19.1
1/27/24,COSTCO WHSE #0733 LEHI UT,530.94
1/26/24,COSTCO WHSE #0733 LEHI UT,32.67
1/24/24,COSTCO WHSE #0733 LEHI UT,32.31
1/22/24,COSTCO WHSE #0733 LEHI UT,94.05
1/19/24,COSTCO WHSE #0733 LEHI UT,38.57
1/18/24,COSTCO WHSE #0733 LEHI UT,54.4
1/12/24,COSTCO WHSE #0733 LEHI UT,297.77
1/6/24,COSTCO WHSE #0733 LEHI UT,252.34
1/3/24,COSTCO WHSE #0733 LEHI UT,23.62
8/29/24,MAVERIK #361 HEBER CITY UT,2.87
8/28/24,MAVERIK #757 LAS VEGAS NV,3.85
8/20/24,MAVERIK #380 EAGLE MOUNTAIUT,34.81
8/20/24,MAVERIK #380 EAGLE MOUNTAIUT,10.89
8/20/24,MAVERIK #601 LEHI UT,2.88
8/8/24,MAVERIK #561 DRAPER UT,46.27
8/3/24,MAVERIK #358 LEHI UT,71.05
8/3/24,MAVERIK #358 LEHI UT,4.8
8/3/24,MAVERIK #358 LEHI UT,16.1
7/12/24,MAVERIK #695 AMERICAN FORKUT,1.92
7/5/24,MAVERIK #462 PROVO UT,7.79
